cuisine,rank,ingredient,log_probability
brazilian,1,salt,-3.691126285423456
brazilian,2,onions,-4.067456970641653
brazilian,3,olive oil,-4.186645487906771
brazilian,4,lime,-4.467319823201148
brazilian,5,water,-4.489919655118388
brazilian,6,garlic cloves,-4.536711816625147
brazilian,7,garlic,-4.548760155141323
brazilian,8,cachaca,-4.7059457386637344
brazilian,9,sugar,-4.720231695911211
brazilian,10,tomatoes,-4.810518542583312
british,1,salt,-3.309826263822508
british,2,all-purpose flour,-3.8454978861750293
british,3,butter,-3.9149400948971307
british,4,milk,-4.009127309956831
british,5,eggs,-4.064979387882725
british,6,unsalted butter,-4.064979387882725
british,7,sugar,-4.146546320130074
british,8,onions,-4.36052519679472
british,9,baking powder,-4.511756166518643
british,10,large eggs,-4.6148516755456175
cajun_creole,1,salt,-3.4256658041383723
cajun_creole,2,onions,-3.7651014049971208
cajun_creole,3,garlic,-4.122181125302441
cajun_creole,4,green bell pepper,-4.2184364209537994
cajun_creole,5,butter,-4.2243976904702984
cajun_creole,6,olive oil,-4.279711328454351
cajun_creole,7,cayenne pepper,-4.341620345052897
cajun_creole,8,cajun seasoning,-4.3551569307704305
cajun_creole,9,all-purpose flour,-4.361994564248035
cajun_creole,10,water,-4.4004608450758305
chinese,1,soy sauce,-3.2561341613637813
chinese,2,sesame oil,-3.6544739995348596
chinese,3,salt,-3.663250797510419
chinese,4,corn starch,-3.6643533334545193
chinese,5,sugar,-3.759167221649771
chinese,6,garlic,-3.8360312389907376
chinese,7,water,-3.8373418551678578
chinese,8,green onions,-4.030608335619123
chinese,9,vegetable oil,-4.072856698284615
chinese,10,scallions,-4.091282680230983
filipino,1,salt,-3.252835895986192
filipino,2,garlic,-3.5112932117794777
filipino,3,onions,-3.5584717720545687
filipino,4,water,-3.5584717720545687
filipino,5,soy sauce,-3.769212683888308
filipino,6,pepper,-4.000841437098184
filipino,7,oil,-4.1816603640076035
filipino,8,sugar,-4.380331058803088
filipino,9,carrots,-4.440726769092827
filipino,10,ground black pepper,-4.47234995752334
french,1,salt,-3.1933598572113135
french,2,sugar,-3.828794837401859
french,3,all-purpose flour,-3.9003119003847173
french,4,unsalted butter,-3.9019982414251535
french,5,olive oil,-4.039273825874747
french,6,butter,-4.043153559160336
french,7,water,-4.200711397309209
french,8,large eggs,-4.256866500138937
french,9,garlic cloves,-4.286172626724436
french,10,ground black pepper,-4.331807921431056
greek,1,salt,-3.2877683705294514
greek,2,olive oil,-3.414449141605699
greek,3,dried oregano,-4.050658610158417
greek,4,garlic cloves,-4.100669030733078
greek,5,feta cheese crumbles,-4.1046216050489015
greek,6,extra-virgin olive oil,-4.200129824263716
greek,7,fresh lemon juice,-4.2311057521580215
greek,8,ground black pepper,-4.240135158877416
greek,9,garlic,-4.258442306321772
greek,10,pepper,-4.320366848881666
indian,1,salt,-3.066025238641373
indian,2,onions,-3.5473096258835612
indian,3,garam masala,-3.8737942638764267
indian,4,water,-3.9237155022517953
