cuisine,precision,recall,f1-score,support
brazilian,0.68359375,0.3747323340471092,0.48409405255878285,467.0
british,0.4693200663349917,0.35199004975124376,0.40227434257285,804.0
cajun_creole,0.6494252873563219,0.7309184993531694,0.6877662811929398,1546.0
chinese,0.7387359198998749,0.8832772166105499,0.8045663656500256,2673.0
filipino,0.7653429602888087,0.56158940397351,0.6478227654698242,755.0
french,0.5357263799525905,0.5978835978835979,0.5651009108769424,2646.0
greek,0.7462039045553145,0.585531914893617,0.6561754887935145,1175.0
indian,0.8415592580949387,0.8914418914418915,0.8657826649417852,3003.0
irish,0.7335640138408305,0.31784107946026985,0.4435146443514644,667.0
italian,0.805039950829748,0.8355447818321,0.8200087647905842,7838.0
jamaican,0.8543417366946778,0.5798479087452472,0.6908267270668177,526.0
japanese,0.8788177339901477,0.6268446943078004,0.7317473338802297,1423.0
korean,0.8925619834710744,0.6506024096385542,0.7526132404181185,830.0
mexican,0.9023664002507444,0.8943771357564461,0.8983540057726812,6438.0
moroccan,0.7711757269279393,0.7429963459196103,0.7568238213399504,821.0
russian,0.7193877551020408,0.2883435582822086,0.4116788321167883,489.0
southern_us,0.5841341953520881,0.7738425925925926,0.6657373294832222,4320.0
spanish,0.625,0.38928210313447925,0.4797507788161994,989.0
thai,0.7138694638694638,0.7959714100064977,0.7526881720430108,1539.0
vietnamese,0.7045871559633028,0.46545454545454545,0.5605839416058395,825.0
accuracy,0.7458138482425706,0.7458138482425706,0.7458138482425706,0.7458138482425706
macro avg,0.730737682138745,0.6169156736542519,0.6538955231870787,39774.0
weighted avg,0.7525118260032037,0.7458138482425706,0.7404001382374227,39774.0
