actual_cuisine,predicted_cuisine,row_normalized_rate
vietnamese,thai,0.18545454545454546
french,italian,0.11942554799697656
irish,british,0.1184407796101949
british,french,0.11318407960199005
british,irish,0.11194029850746269
spanish,italian,0.10819009100101112
british,southern_us,0.10696517412935323
cajun_creole,southern_us,0.1054333764553687
thai,vietnamese,0.09291747888239116
irish,french,0.09145427286356822
russian,french,0.08997955010224949
greek,italian,0.0851063829787234
japanese,chinese,0.08503162333099086
spanish,french,0.08493427704752275
irish,southern_us,0.08395802098950525
russian,british,0.07975460122699386
brazilian,mexican,0.07708779443254818
korean,chinese,0.07590361445783132
filipino,chinese,0.07549668874172186
spanish,mexican,0.07077856420626896
vietnamese,chinese,0.0703030303030303
japanese,indian,0.06957132817990162
russian,irish,0.06134969325153374
italian,french,0.05856085736157183
thai,chinese,0.05588044184535412
southern_us,cajun_creole,0.05277777777777778
jamaican,southern_us,0.051330798479087454
british,russian,0.05099502487562189
french,southern_us,0.05026455026455026
korean,japanese,0.04819277108433735
moroccan,indian,0.04506699147381242
russian,southern_us,0.04294478527607362
cajun_creole,italian,0.04139715394566624
vietnamese,filipino,0.041212121212121214
russian,italian,0.0408997955010225
french,british,0.03968253968253968
brazilian,spanish,0.03854389721627409
irish,russian,0.037481259370314844
greek,spanish,0.0374468085106383
southern_us,french,0.03726851851851852
chinese,korean,0.037037037037037035
french,irish,0.03665910808767952
french,spanish,0.03665910808767952
brazilian,southern_us,0.03640256959314775
brazilian,italian,0.034261241970021415
jamaican,filipino,0.03231939163498099
southern_us,british,0.03194444444444444
filipino,vietnamese,0.031788079470198675
moroccan,greek,0.031668696711327646
french,russian,0.03136810279667423
moroccan,spanish,0.030450669914738125
jamaican,mexican,0.030418250950570342
cajun_creole,french,0.03040103492884864
spanish,southern_us,0.030333670374115267
brazilian,filipino,0.029978586723768737
brazilian,jamaican,0.029978586723768737
chinese,japanese,0.029928918817807706
spanish,greek,0.029322548028311426
greek,french,0.028085106382978724
filipino,southern_us,0.02781456953642384
italian,greek,0.027558050523092625
thai,indian,0.02729044834307992
southern_us,italian,0.027083333333333334
indian,moroccan,0.02564102564102564
spanish,moroccan,0.025278058645096056
