cuisine,ingredient,within_cuisine_rate,lift_overall
brazilian,cachaca,0.14989293361884368,85.16916483383386
british,beef drippings,0.014925373134328358,49.470149089762536
cajun_creole,file powder,0.029754204398447608,24.151912750678303
chinese,fermented black beans,0.013468013468013467,14.879910196803724
filipino,calamansi juice,0.022516556291390728,52.68079457873229
french,armagnac,0.0049130763416477706,13.958049846966498
greek,ouzo,0.00851063829787234,33.85021263132162
indian,fenugreek,0.011988011988011988,13.244755230121998
irish,irish whiskey,0.044977511244377814,57.707597739955524
italian,gnocchi,0.005230926256698137,5.074508798343371
jamaican,jamaican jerk season,0.039923954372623575,72.17887992481306
japanese,dashi powder,0.011243851018973999,27.950808082309774
korean,gochugaru,0.03614457831325301,47.920481864177866
mexican,refried beans,0.03883193538365952,6.178005590815798
moroccan,ras el hanout,0.05237515225334957,47.34475690549172
russian,farmer cheese,0.022494887525562373,59.64744360462003
southern_us,collards,0.0032407407407407406,9.206944418287515
spanish,serrano ham,0.024266936299292215,34.471182964178276
thai,thai noodles,0.00649772579597141,25.844054478104546
vietnamese,vietnamese coriander,0.02303030303030303,43.61939385677881
