CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster,silhouette,pca_x,pca_y,segment
1,Male,19,15,39,4,0.05642755464178064,-0.6157200190433794,-1.7634808784656568,Emerging enthusiasts
2,Male,21,15,81,4,0.6368061475108601,-1.6657927134346537,-1.8207469510592622,Emerging enthusiasts
3,Female,20,16,6,5,0.11111684640476537,0.3378619085157551,-1.6747989372314545,Budget minimalists
4,Female,23,16,77,4,0.6473128942658497,-1.4565732549230122,-1.7724299195461675,Emerging enthusiasts
5,Female,31,17,40,5,0.036098625150017105,-0.03846520777955376,-1.662740121505823,Budget minimalists
6,Female,22,17,76,4,0.6406394511802049,-1.481685260102272,-1.7350017348931828,Emerging enthusiasts
7,Female,35,18,6,5,0.4351053430821958,1.0946166530075183,-1.5661023017675875,Budget minimalists
8,Female,23,18,94,4,0.60981877670289,-1.9263073593487199,-1.7211104867389262,Emerging enthusiasts
9,Male,64,19,3,5,0.2981371229945181,2.645177858255776,-1.460847205498572,Budget minimalists
10,Female,30,19,72,4,0.5593092005916119,-0.9701305133429768,-1.6355810828111526,Emerging enthusiasts
11,Male,67,19,14,5,0.184903752563603,2.4956886087059296,-1.4704891371309963,Budget minimalists
12,Female,35,19,99,4,0.5061364865812141,-1.4568825612655656,-1.66436049840819,Emerging enthusiasts
13,Female,58,20,15,5,0.3601542180385404,2.0101872917398245,-1.4532989723700758,Budget minimalists
14,Female,24,20,77,4,0.6589312644281087,-1.4132107232385545,-1.617767460436389,Emerging enthusiasts
15,Male,37,20,13,5,0.4708752524633479,1.0004296462276008,-1.4957917642959677,Budget minimalists
16,Male,22,20,79,4,0.6584351892119785,-1.5694316990324888,-1.6250266916764624,Emerging enthusiasts
17,Female,35,21,35,5,0.24376283867292994,0.2940603180587694,-1.4942558471798586,Budget minimalists
18,Male,20,21,66,4,0.4956213528385949,-1.3162492440994495,-1.5721638283290182,Emerging enthusiasts
19,Male,52,23,29,5,0.3055595380310891,1.3166990992703949,-1.3724340437637657,Budget minimalists
20,Female,35,23,98,4,0.5020201380573238,-1.4367989870151108,-1.5103946865623719,Emerging enthusiasts
21,Male,35,24,35,5,0.21172889489996427,0.2885611748229989,-1.3798813514290238,Budget minimalists
22,Male,25,24,73,4,0.6130594595570132,-1.2601851306281686,-1.457239064614458,Emerging enthusiasts
23,Female,46,25,5,5,0.5128545465181956,1.6668430333425388,-1.273967548308951,Budget minimalists
24,Male,31,25,73,4,0.5293155033108607,-0.9578498423805148,-1.406135444045522,Emerging enthusiasts
25,Female,54,28,14,5,0.4059395722818643,1.8201597843473112,-1.1554863586244712,Budget minimalists
26,Male,29,28,82,4,0.5980820464190473,-1.3114803180305936,-1.3092855687810272,Emerging enthusiasts
27,Female,45,28,32,5,0.3396342259345088,0.8704235061912688,-1.2013512568071443,Budget minimalists
28,Male,35,28,61,4,0.19783814790727633,-0.43158091217656075,-1.2655106123902353,Emerging enthusiasts
29,Female,40,29,31,5,0.371315408251126,0.6425326103500685,-1.1725755979221535,Budget minimalists
30,Female,23,29,87,4,0.6213482940918247,-1.7545605279261711,-1.2914719464062638,Emerging enthusiasts
31,Male,60,30,4,5,0.3156125318278126,2.394819677164528,-1.051593064358209,Budget minimalists
32,Female,21,30,73,4,0.5397104652346574,-1.4739623077616502,-1.2371425988807816,Emerging enthusiasts
