antecedent,consequent,support,confidence,lift,leverage,conviction
whole milk | yogurt,sausage,0.00147,0.131737,2.182917,0.000797,1.082219
sausage,whole milk | yogurt,0.00147,0.024363,2.182917,0.000797,1.013532
sausage | whole milk,yogurt,0.00147,0.164179,1.91176,0.000701,1.093681
specialty chocolate,citrus fruit,0.001403,0.087866,1.653762,0.000555,1.038081
citrus fruit,specialty chocolate,0.001403,0.026415,1.653762,0.000555,1.010726
sausage | yogurt,whole milk,0.00147,0.255814,1.619866,0.000563,1.131541
flour,tropical fruit,0.001069,0.109589,1.617141,0.000408,1.046969
beverages,sausage,0.001537,0.092742,1.536764,0.000537,1.035704
sausage,beverages,0.001537,0.025471,1.536764,0.000537,1.009129
soda | whole milk,sausage,0.001069,0.091954,1.523708,0.000368,1.034806
napkins,pastry,0.001738,0.07855,1.518529,0.000593,1.029109
pastry,napkins,0.001738,0.033592,1.518529,0.000593,1.011869
processed cheese,root vegetables,0.001069,0.105263,1.513019,0.000363,1.039891
hard cheese,pip fruit,0.001069,0.072727,1.482586,0.000348,1.02553
pip fruit,hard cheese,0.001069,0.021798,1.482586,0.000348,1.007254
soft cheese,yogurt,0.00127,0.126667,1.474952,0.000409,1.046704
curd,sausage,0.002941,0.087302,1.446615,0.000908,1.029531
sausage,curd,0.002941,0.048726,1.446615,0.000908,1.015814
detergent,yogurt,0.001069,0.124031,1.444261,0.000329,1.043555
sugar,bottled water,0.00147,0.083019,1.368074,0.000396,1.024358
bottled water,sugar,0.00147,0.024229,1.368074,0.000396,1.006681
white bread,canned beer,0.001537,0.064067,1.365573,0.000411,1.018325
canned beer,white bread,0.001537,0.032764,1.365573,0.000411,1.009068
brown bread,canned beer,0.002406,0.063943,1.362937,0.000641,1.018191
canned beer,brown bread,0.002406,0.051282,1.362937,0.000641,1.014394
chewing gum,yogurt,0.001403,0.116667,1.358508,0.00037,1.034855
rolls/buns | whole milk,sausage,0.001136,0.08134,1.347825,0.000293,1.022849
rolls/buns | sausage,whole milk,0.001136,0.2125,1.345594,0.000292,1.069304
sliced cheese,sausage,0.001136,0.080952,1.341407,0.000289,1.022418
frozen vegetables,beef,0.00127,0.045346,1.335656,0.000319,1.011937
beef,frozen vegetables,0.00127,0.037402,1.335656,0.000319,1.009764
margarine,frankfurter,0.001604,0.049793,1.318665,0.000388,1.012663
frankfurter,margarine,0.001604,0.042478,1.318665,0.000388,1.01072
processed cheese,rolls/buns,0.00147,0.144737,1.315734,0.000353,1.04061
candy,citrus fruit,0.001002,0.069767,1.31312,0.000239,1.017884
packaged fruit/vegetables,rolls/buns,0.001203,0.141732,1.288421,0.000269,1.036967
seasonal products,rolls/buns,0.001002,0.141509,1.286395,0.000223,1.036698
margarine,beef,0.001403,0.043568,1.283297,0.00031,1.010056
beef,margarine,0.001403,0.041339,1.283297,0.00031,1.009519
beef,newspapers,0.001671,0.049213,1.265237,0.00035,1.010851
newspapers,beef,0.001671,0.042955,1.265237,0.00035,1.009409
dessert,curd,0.001002,0.042493,1.261551,0.000208,1.009201
curd,dessert,0.001002,0.029762,1.261551,0.000208,1.00636
frozen meals,sausage,0.00127,0.075697,1.254327,0.000257,1.016605
sausage,frozen meals,0.00127,0.021041,1.254327,0.000257,1.004358
herbs,yogurt,0.001136,0.107595,1.252874,0.000229,1.024335
cat food,tropical fruit,0.001002,0.084746,1.250543,0.000201,1.018551
oil,soda,0.001804,0.121076,1.246844,0.000357,1.027272
margarine,butter,0.001403,0.043568,1.23703,0.000269,1.008729
butter,margarine,0.001403,0.039848,1.23703,0.000269,1.007952
specialty chocolate,tropical fruit,0.001337,0.083682,1.234846,0.000254,1.017368
sliced cheese,root vegetables,0.001203,0.085714,1.23203,0.000227,1.017656
coffee,frankfurter,0.00147,0.046512,1.231776,0.000277,1.009179
frankfurter,coffee,0.00147,0.038938,1.231776,0.000277,1.007624
sausage | whole milk,soda,0.001069,0.119403,1.229612,0.0002,1.02532
grapes,sausage,0.001069,0.074074,1.227431,0.000198,1.014823
frozen vegetables,sausage,0.002072,0.073986,1.225966,0.000382,1.014726
sausage,frozen vegetables,0.002072,0.03433,1.225966,0.000382,1.006553
bottled beer,sausage,0.003342,0.073746,1.222,0.000607,1.014464
sausage,bottled beer,0.003342,0.055371,1.222,0.000607,1.010649
chicken,curd,0.001136,0.040767,1.210322,0.000197,1.007385
curd,chicken,0.001136,0.03373,1.210322,0.000197,1.006066
onions,whipped/sour cream,0.001069,0.052805,1.208143,0.000184,1.009605
whipped/sour cream,onions,0.001069,0.024465,1.208143,0.000184,1.004321
beef,brown bread,0.001537,0.045276,1.203301,0.00026,1.008012
brown bread,beef,0.001537,0.040853,1.203301,0.00026,1.007196
butter milk,shopping bags,0.001002,0.057034,1.1986,0.000166,1.010022
shopping bags,butter milk,0.001002,0.021067,1.1986,0.000166,1.003566
pork,brown bread,0.001671,0.045045,1.197174,0.000275,1.007769
brown bread,pork,0.001671,0.044405,1.197174,0.000275,1.007653
coffee,domestic eggs,0.001403,0.044397,1.196972,0.000231,1.007645
domestic eggs,coffee,0.001403,0.037838,1.196972,0.000231,1.006471
napkins,citrus fruit,0.001403,0.063444,1.194106,0.000228,1.011012
citrus fruit,napkins,0.001403,0.026415,1.194106,0.000228,1.00441
fruit/vegetable juice,butter,0.001403,0.041257,1.171412,0.000205,1.006297
butter,fruit/vegetable juice,0.001403,0.039848,1.171412,0.000205,1.006073
beverages,soda,0.001871,0.112903,1.162678,0.000262,1.017808
red/blush wine,rolls/buns,0.001337,0.127389,1.158028,0.000182,1.019922
chocolate,pip fruit,0.001337,0.056657,1.154989,0.000179,1.00806
pip fruit,chocolate,0.001337,0.027248,1.154989,0.000179,1.003759
sausage | whole milk,rolls/buns,0.001136,0.126866,1.153275,0.000151,1.019311
rolls/buns | soda,other vegetables,0.001136,0.140496,1.150651,0.000149,1.021402
meat,root vegetables,0.001337,0.079365,1.140768,0.000165,1.010638
sausage | soda,whole milk,0.001069,0.179775,1.138374,0.00013,1.026642
salty snack,canned beer,0.001002,0.053381,1.137802,0.000121,1.00683
canned beer,salty snack,0.001002,0.021368,1.137802,0.000121,1.002644
curd,whipped/sour cream,0.001671,0.049603,1.134881,0.000199,1.006203
whipped/sour cream,curd,0.001671,0.038226,1.134881,0.000199,1.004724
white bread,domestic eggs,0.001002,0.041783,1.126477,0.000113,1.004896
domestic eggs,white bread,0.001002,0.027027,1.126477,0.000113,1.003119
misc. beverages,sausage,0.001069,0.067797,1.123412,0.000117,1.007989
cream cheese,frankfurter,0.001002,0.042373,1.122169,0.000109,1.004817
frankfurter,cream cheese,0.001002,0.026549,1.122169,0.000109,1.002969
margarine,pork,0.001337,0.041494,1.118687,0.000142,1.004593
pork,margarine,0.001337,0.036036,1.118687,0.000142,1.003966
chicken,margarine,0.001002,0.035971,1.116675,0.000105,1.003899
margarine,chicken,0.001002,0.03112,1.116675,0.000105,1.003356
frankfurter,other vegetables,0.005146,0.136283,1.11615,0.000536,1.01642
other vegetables,frankfurter,0.005146,0.042146,1.11615,0.000536,1.004579
semi-finished bread,whole milk,0.001671,0.176056,1.114825,0.000172,1.022008
rolls/buns | whole milk,yogurt,0.001337,0.095694,1.114293,0.000137,1.010854
white bread,brown bread,0.001002,0.041783,1.110471,0.0001,1.004338
brown bread,white bread,0.001002,0.026643,1.110471,0.0001,1.002723
curd,beef,0.00127,0.037698,1.110396,0.000126,1.003895
beef,curd,0.00127,0.037402,1.110396,0.000126,1.003863
sausage,yogurt,0.005748,0.095238,1.108986,0.000565,1.010345
yogurt,sausage,0.005748,0.066926,1.108986,0.000565,1.007049
other vegetables | rolls/buns,soda,0.001136,0.107595,1.108013,0.000111,1.011753
frozen vegetables,bottled beer,0.001403,0.050119,1.1061,0.000135,1.005061
bottled beer,frozen vegetables,0.001403,0.030973,1.1061,0.000135,1.003066
frozen vegetables,root vegetables,0.002139,0.076372,1.097751,0.00019,1.007363
root vegetables,frozen vegetables,0.002139,0.03074,1.097751,0.00019,1.002824
whole milk | yogurt,rolls/buns,0.001337,0.11976,1.088685,0.000109,1.011083
fruit/vegetable juice,bottled beer,0.001671,0.049116,1.083955,0.000129,1.004001
bottled beer,fruit/vegetable juice,0.001671,0.036873,1.083955,0.000129,1.002965
rolls/buns | yogurt,whole milk,0.001337,0.17094,1.082428,0.000102,1.015701
brown bread,frankfurter,0.001537,0.040853,1.081906,0.000116,1.003224
frankfurter,brown bread,0.001537,0.040708,1.081906,0.000116,1.003213
chocolate,rolls/buns,0.002807,0.11898,1.081592,0.000212,1.010188
rolls/buns,chocolate,0.002807,0.025516,1.081592,0.000212,1.001975
hamburger meat,bottled beer,0.001069,0.04893,1.079844,7.9e-05,1.003804
bottled beer,hamburger meat,0.001069,0.023599,1.079844,7.9e-05,1.001787
frozen vegetables,citrus fruit,0.001604,0.057279,1.078074,0.000116,1.0044
citrus fruit,frozen vegetables,0.001604,0.030189,1.078074,0.000116,1.002254
dessert,shopping bags,0.001203,0.050992,1.071609,8e-05,1.003591
shopping bags,dessert,0.001203,0.025281,1.071609,8e-05,1.001733
cream cheese,shopping bags,0.001203,0.050847,1.068582,7.7e-05,1.003438
shopping bags,cream cheese,0.001203,0.025281,1.068582,7.7e-05,1.001665
other vegetables | soda,rolls/buns,0.001136,0.117241,1.065785,7e-05,1.008198
domestic eggs,newspapers,0.001537,0.041441,1.065444,9.4e-05,1.002656
newspapers,domestic eggs,0.001537,0.039519,1.065444,9.4e-05,1.002527
grapes,root vegetables,0.001069,0.074074,1.064717,6.5e-05,1.004863
beverages,bottled water,0.001069,0.064516,1.063166,6.4e-05,1.004097
berries,pip fruit,0.001136,0.052147,1.063051,6.7e-05,1.003263
pip fruit,berries,0.001136,0.023161,1.063051,6.7e-05,1.001406
uht-milk,tropical fruit,0.001537,0.071875,1.060617,8.8e-05,1.004426
tropical fruit,uht-milk,0.001537,0.022682,1.060617,8.8e-05,1.001326
detergent,rolls/buns,0.001002,0.116279,1.057037,5.4e-05,1.0071
butter,frankfurter,0.001403,0.039848,1.055307,7.4e-05,1.002175
